N,Threads,AvgSeq,AvgPar,Speedup,Efficiency
100,1,1.34988,1.38697,0.973258,97.3258
100,2,1.35341,0.692127,1.95544,97.772
100,4,1.33439,0.40339,3.30794,82.6985
100,8,1.33519,0.330902,4.035,50.4375
100,16,1.34646,0.491867,2.73745,17.1091
200,1,14.3687,14.4324,0.995586,99.5586
200,2,14.3981,12.0942,1.1905,59.525
200,4,14.383,8.24133,1.74523,43.6307
200,8,14.3285,7.9091,1.81165,22.6456
200,16,14.2988,7.89897,1.81021,11.3138
300,1,46.9187,46.9883,0.998519,99.8519
300,2,46.7007,39.2533,1.18973,59.4865
300,4,46.987,21.9334,2.14226,53.5565
300,8,47.273,23.2411,2.03403,25.4254
300,16,46.9933,28.126,1.67081,10.4426
