x,y,z,vx,vy,vz,fx,fy,fz,mass
0.000198,0.000198,0.000198,0.003916,0.003916,0.003916,0.000000,0.000000,0.000000,1.000000
2.000008,0.000218,0.000218,0.000155,0.004312,0.004312,0.000000,0.000000,0.000000,1.000000
4.000001,0.000219,0.000219,0.000029,0.004344,0.004344,0.000000,0.000000,0.000000,1.000000
6.000000,0.000220,0.000220,0.000009,0.004350,0.004350,0.000000,0.000000,0.000000,1.000000
8.000000,0.000220,0.000220,0.000002,0.004352,0.004352,0.000000,0.000000,0.000000,1.000000
10.000000,0.000220,0.000220,-0.000002,0.004352,0.004352,0.000000,0.000000,0.000000,1.000000
12.000000,0.000220,0.000220,-0.000009,0.004350,0.004350,0.000000,0.000000,0.000000,1.000000
13.999999,0.000219,0.000219,-0.000029,0.004344,0.004344,0.000000,0.000000,0.000000,1.000000
15.999992,0.000218,0.000218,-0.000155,0.004312,0.004312,0.000000,0.000000,0.000000,1.000000
17.999802,0.000198,0.000198,-0.003916,0.003916,0.003916,0.000000,0.000000,0.000000,1.000000
0.000218,2.000008,0.000218,0.004312,0.000155,0.004312,0.000000,0.000000,0.000000,1.000000
2.000010,2.000010,0.000242,0.000201,0.000201,0.004790,0.000000,0.000000,0.000000,1.000000
4.000002,2.000011,0.000244,0.000038,0.000215,0.004832,0.000000,0.000000,0.000000,1.000000
6.000001,2.000011,0.000244,0.000011,0.000218,0.004840,0.000000,0.000000,0.000000,1.000000
8.000000,2.000011,0.000245,0.000003,0.000219,0.004842,0.000000,0.000000,0.000000,1.000000
10.000000,2.000011,0.000245,-0.000003,0.000219,0.004842,0.000000,0.000000,0.000000,1.000000
11.999999,2.000011,0.000244,-0.000011,0.000218,0.004840,0.000000,0.000000,0.000000,1.000000
13.999998,2.000011,0.000244,-0.000038,0.000215,0.004832,0.000000,0.000000,0.000000,1.000000
15.999990,2.000010,0.000242,-0.000201,0.000201,0.004790,0.000000,0.000000,0.000000,1.000000
17.999782,2.000008,0.000218,-0.004312,0.000155,0.004312,0.000000,0.000000,0.000000,1.000000
0.000219,4.000001,0.000219,0.004344,0.000029,0.004344,0.000000,0.000000,0.000000,1.000000
2.000011,4.000002,0.000244,0.000215,0.000038,0.004832,0.000000,0.000000,0.000000,1.000000
4.000002,4.000002,0.000246,0.000043,0.000043,0.004878,0.000000,0.000000,0.000000,1.000000
6.000001,4.000002,0.000247,0.000013,0.000045,0.004887,0.000000,0.000000,0.000000,1.000000
8.000000,4.000002,0.000247,0.000003,0.000045,0.004889,0.000000,0.000000,0.000000,1.000000
10.000000,4.000002,0.000247,-0.000003,0.000045,0.004889,0.000000,0.000000,0.000000,1.000000
11.999999,4.000002,0.000247,-0.000013,0.000045,0.004887,0.000000,0.000000,0.000000,1.000000
13.999998,4.000002,0.000246,-0.000043,0.000043,0.004878,0.000000,0.000000,0.000000,1.000000
15.999989,4.000002,0.000244,-0.000215,0.000038,0.004832,0.000000,0.000000,0.000000,1.000000
17.999781,4.000001,0.000219,-0.004344,0.000029,0.004344,0.000000,0.000000,0.000000,1.000000
0.000220,6.000000,0.000220,0.004350,0.000009,0.004350,0.000000,0.000000,0.000000,1.000000
2.000011,6.000001,0.000244,0.000218,0.000011,0.004840,0.000000,0.000000,0.000000,1.000000
4.000002,6.000001,0.000247,0.000045,0.000013,0.004887,0.000000,0.000000,0.000000,1.000000
6.000001,6.000001,0.000247,0.000013,0.000013,0.004896,0.000000,0.000000,0.000000,1.000000
8.000000,6.000001,0.000247,0.000003,0.000014,0.004898,0.000000,0.000000,0.000000,1.000000
10.000000,6.000001,0.000247,-0.000003,0.000014,0.004898,0.000000,0.000000,0.000000,1.000000
11.999999,6.000001,0.000247,-0.000013,0.000013,0.004896,0.000000,0.000000,0.000000,1.000000
13.999998,6.000001,0.000247,-0.000045,0.000013,0.004887,0.000000,0.000000,0.000000,1.000000
