x,y,z,vx,vy,vz,fx,fy,fz,mass
0.000198,0.000198,0.000197,0.003915,0.003915,0.003910,0.000000,0.000000,0.000000,1.000000
2.000008,0.000218,0.000218,0.000151,0.004313,0.004310,0.000000,0.000000,0.000000,1.000000
4.000000,0.000219,0.000219,0.000006,0.004343,0.004343,0.000000,0.000000,0.000000,1.000000
5.999993,0.000218,0.000218,-0.000140,0.004319,0.004323,0.000000,0.000000,0.000000,1.000000
7.999803,0.000198,0.000199,-0.003908,0.003925,0.003934,0.000000,0.000000,0.000000,1.000000
0.000218,2.000008,0.000218,0.004313,0.000152,0.004310,0.000000,0.000000,0.000000,1.000000
2.000010,2.000010,0.000242,0.000200,0.000200,0.004799,0.000000,0.000000,0.000000,1.000000
4.000000,2.000011,0.000245,0.000009,0.000213,0.004846,0.000000,0.000000,0.000000,1.000000
5.999991,2.000010,0.000243,-0.000182,0.000206,0.004820,0.000000,0.000000,0.000000,1.000000
7.999783,2.000008,0.000220,-0.004304,0.000163,0.004349,0.000000,0.000000,0.000000,1.000000
0.000219,4.000000,0.000219,0.004344,0.000009,0.004344,0.000000,0.000000,0.000000,1.000000
2.000011,4.000001,0.000245,0.000213,0.000013,0.004847,0.000000,0.000000,0.000000,1.000000
4.000001,4.000001,0.000248,0.000012,0.000016,0.004901,0.000000,0.000000,0.000000,1.000000
5.999990,4.000001,0.000246,-0.000189,0.000019,0.004877,0.000000,0.000000,0.000000,1.000000
7.999781,4.000001,0.000222,-0.004331,0.000021,0.004399,0.000000,0.000000,0.000000,1.000000
0.000218,5.999993,0.000219,0.004322,-0.000131,0.004330,0.000000,0.000000,0.000000,1.000000
2.000010,5.999991,0.000244,0.000207,-0.000171,0.004830,0.000000,0.000000,0.000000,1.000000
4.000001,5.999991,0.000247,0.000016,-0.000177,0.004886,0.000000,0.000000,0.000000,1.000000
5.999991,5.999992,0.000246,-0.000175,-0.000163,0.004872,0.000000,0.000000,0.000000,1.000000
7.999783,5.999994,0.000223,-0.004303,-0.000112,0.004417,0.000000,0.000000,0.000000,1.000000
0.000199,7.999804,0.000201,0.003935,-0.003889,0.003971,0.000000,0.000000,0.000000,1.000000
2.000008,7.999784,0.000222,0.000165,-0.004279,0.004397,0.000000,0.000000,0.000000,1.000000
4.000001,7.999783,0.000225,0.000017,-0.004305,0.004447,0.000000,0.000000,0.000000,1.000000
5.999994,7.999784,0.000225,-0.000126,-0.004280,0.004450,0.000000,0.000000,0.000000,1.000000
7.999803,7.999804,0.000207,-0.003906,-0.003888,0.004098,0.000000,0.000000,0.000000,1.000000
0.000218,0.000218,2.000004,0.004312,0.004310,0.000081,0.000000,0.000000,0.000000,1.000000
2.000011,0.000243,2.000008,0.000214,0.004814,0.000153,0.000000,0.000000,0.000000,1.000000
4.000001,0.000246,2.000010,0.000018,0.004868,0.000193,0.000000,0.000000,0.000000,1.000000
5.999991,0.000245,2.000011,-0.000173,0.004842,0.000202,0.000000,0.000000,0.000000,1.000000
7.999784,0.000221,2.000010,-0.004281,0.004368,0.000198,0.000000,0.000000,0.000000,1.000000
0.000243,2.000011,2.000008,0.004815,0.000213,0.000149,0.000000,0.000000,0.000000,1.000000
2.000015,2.000015,2.000017,0.000305,0.000304,0.000325,0.000000,0.000000,0.000000,1.000000
4.000002,2.000017,2.000021,0.000032,0.000338,0.000415,0.000000,0.000000,0.000000,1.000000
5.999988,2.000017,2.000022,-0.000228,0.000333,0.000430,0.000000,0.000000,0.000000,1.000000
7.999759,2.000013,2.000020,-0.004772,0.000268,0.000393,0.000000,0.000000,0.000000,1.000000
0.000246,4.000001,2.000010,0.004870,0.000024,0.000188,0.000000,0.000000,0.000000,1.000000
2.000017,4.000002,2.000021,0.000339,0.000039,0.000413,0.000000,0.000000,0.000000,1.000000
4.000002,4.000003,2.000027,0.000043,0.000050,0.000531,0.000000,0.000000,0.000000,1.000000
5.999988,4.000003,2.000028,-0.000234,0.000063,0.000555,0.000000,0.000000,0.000000,1.000000
7.999757,4.000004,2.000026,-0.004815,0.000078,0.000508,0.000000,0.000000,0.000000,1.000000
0.000245,5.999993,2.000011,0.004851,-0.000134,0.000216,0.000000,0.000000,0.000000,1.000000
2.000017,5.999991,2.000023,0.000336,-0.000179,0.000450,0.000000,0.000000,0.000000,1.000000
4.000003,5.999991,2.000029,0.000056,-0.000183,0.000575,0.000000,0.000000,0.000000,1.000000
5.999992,5.999995,2.000033,-0.000154,-0.000107,0.000661,0.000000,0.000000,0.000000,1.000000
7.999761,6.000011,2.000044,-0.004728,0.000216,0.000873,0.000000,0.000000,0.000000,1.000000
0.000225,7.999802,2.000028,0.004448,-0.003930,0.000543,0.000000,0.000000,0.000000,1.000000
2.000014,7.999780,2.000041,0.000280,-0.004353,0.000806,0.000000,0.000000,0.000000,1.000000
4.000003,7.999778,2.000047,0.000064,-0.004395,0.000922,0.000000,0.000000,0.000000,1.000000
6.000006,7.999780,2.000062,0.000120,-0.004365,0.001217,0.000000,0.000000,0.000000,1.000000
7.999795,7.999803,2.000215,-0.004055,-0.003897,0.004257,0.000000,0.000000,0.000000,1.000000
0.000211,0.000211,3.999842,0.004170,0.004155,-0.003351,0.000000,0.000000,0.000000,1.000000
2.000019,0.000262,3.999856,0.000371,0.005179,-0.003064,0.000000,0.000000,0.000000,1.000000
4.000003,0.000272,3.999864,0.000054,0.005386,-0.002901,0.000000,0.000000,0.000000,1.000000
5.999993,0.000272,3.999866,-0.000144,0.005377,-0.002869,0.000000,0.000000,0.000000,1.000000
7.999808,0.000247,3.999891,-0.003777,0.004895,-0.002358,0.000000,0.000000,0.000000,1.000000
0.000262,2.000018,3.999854,0.005187,0.000352,-0.003120,0.000000,0.000000,0.000000,1.000000
2.000051,2.000050,4.000164,0.001039,0.001016,0.003206,0.000000,0.000000,0.000000,1.000000
4.000006,2.000060,4.000201,0.000117,0.001205,0.003948,0.000000,0.000000,0.000000,1.000000
5.999989,2.000060,4.000204,-0.000208,0.001214,0.004013,0.000000,0.000000,0.000000,1.000000
7.999763,2.000051,4.000211,-0.004693,0.001038,0.004146,0.000000,0.000000,0.000000,1.000000
